Num1,Num2,Num3,Num4,Num5,PowerBall,PowerPlay
24,63,43,25,52,21,2
24,65,21,32,15,11,3
24,66,58,11,67,26,3
24,68,20,38,56,18,2
24,69,33,64,9,9,2
25,6,14,33,46,17,2
25,9,69,28,5,5,2
25,10,14,39,53,18,2
25,11,9,65,64,16,3
25,16,32,49,19,18,2
25,18,29,21,28,16,2
25,20,57,63,54,8,2
25,28,11,17,46,12,2
25,32,21,67,63,6,2
25,37,38,39,65,5,2
25,39,64,2,33,17,2
25,53,13,37,29,3,2
25,53,44,3,64,10,2
25,55,1,44,57,26,2
25,57,62,64,1,15,2
25,66,44,5,26,9,2
25,67,39,23,54,11,3
25,67,54,44,13,5,3
25,68,40,54,33,3,5
26,1,38,34,51,6,3
26,2,20,47,22,21,4
26,3,19,6,44,1,2
26,4,32,55,64,18,3
26,10,34,11,27,7,4
26,15,65,63,1,16,2
26,20,63,22,28,5,3
26,21,47,30,45,23,3
26,32,9,23,30,8,3
26,37,17,65,61,2,2
26,37,33,62,30,6,2
26,38,21,4,18,1,3
26,46,45,52,2,21,2
26,53,69,20,18,5,2
26,55,37,53,15,21,2
26,55,40,41,65,24,2
26,55,63,14,22,26,3
26,60,67,31,28,23,3
26,61,9,3,67,13,2
26,62,39,13,44,2,3
26,63,39,19,30,13,2
27,10,34,25,38,2,3
27,11,66,9,59,19,3
27,12,43,47,26,5,2
27,13,41,59,1,20,5
27,15,22,47,21,7,2
27,15,59,44,63,8,4
27,21,17,23,52,19,5
27,23,32,35,59,11,2
27,26,33,8,10,22,2
27,29,36,47,8,24,3
27,38,1,62,25,13,2
27,42,15,8,6,10,3
27,44,41,29,34,2,3
27,44,67,28,68,11,2
27,52,43,32,34,13,2
27,60,42,23,8,7,3
27,62,16,59,63,23,3
27,65,45,20,18,6,2
27,65,56,46,22,13,2
27,66,35,39,51,16,5
27,68,12,43,29,1,2
27,68,25,19,1,21,2
28,1,15,23,2,10,2
28,11,50,57,62,23,2
28,15,12,47,48,16,2
28,19,42,41,51,7,2
28,26,18,38,47,17,2
28,26,58,47,49,3,4
28,31,54,25,1,2,2
28,34,1,52,30,6,2
28,36,10,1,27,12,2
28,48,63,6,64,24,2
28,50,22,45,20,8,5
28,61,23,25,1,13,2
28,61,63,41,65,7,2
28,69,48,61,51,20,3
29,1,62,5,54,3,2
29,4,61,3,18,25,2
29,8,40,59,10,26,2
29,9,31,34,43,2,2
